composer,filename,work,fold
bach,013906b_.mid,013906b,4
bach,014001b_.mid,014001b,0
bach,014004b_.mid,014004b,3
bach,014007b_.mid,014007b,3
bach,014403b_.mid,014403b,2
bach,014406b_.mid,014406b,3
bach,014500ba.mid,014500ba,2
bach,014505b_.mid,014505b,2
bach,014505bv.mid,014505bv,1
bach,014608b_.mid,014608b,1
bach,014706b_.mid,014706b,1
bach,014806b_.mid,014806b,2
bach,014806bv.mid,014806bv,4
bach,014907b_.mid,014907b,1
bach,014907ch.mid,014907ch,1
bach,015105b_.mid,015105b,1
bach,015301b_.mid,015301b,4
bach,015305b_.mid,015305b,3
bach,015309b_.mid,015309b,1
bach,015403b_.mid,015403b,4
bach,015408b_.mid,015408b,4
bach,015505b_.mid,015505b,1
bach,015606b_.mid,015606b,1
bach,015705b_.mid,015705b,4
bach,015804b_.mid,015804b,3
bach,015905b_.mid,015905b,3
bach,016106b_.mid,016106b,2
bach,016206b_.mid,016206b,0
bach,016406b_.mid,016406b,0
bach,016506b_.mid,016506b,4
bach,016606b_.mid,016606b,1
bach,016806b_.mid,016806b,0
bach,016907b_.mid,016907b,1
bach,017106b_.mid,017106b,2
bach,017206b_.mid,017206b,0
bach,017206ch.mid,017206ch,4
bach,017206vn.mid,017206vn,4
bach,017405b_.mid,017405b,1
bach,017507b_.mid,017507b,1
bach,017507ch.mid,017507ch,2
bach,017606b_.mid,017606b,1
bach,017705bv.mid,017705bv,4
bach,017807b_.mid,017807b,4
bach,017906b_.mid,017906b,2
bach,018007b_.mid,018007b,4
bach,018007bv.mid,018007bv,0
bach,018305b_.mid,018305b,0
bach,018405b_.mid,018405b,3
bach,018405bv.mid,018405bv,0
bach,018506b_.mid,018506b,1
bach,018707b_.mid,018707b,3
bach,018806b_.mid,018806b,0
bach,019007ch.mid,019007ch,1
bach,019406b_.mid,019406b,1
bach,019406bv.mid,019406bv,3
bach,019412b_.mid,019412b,0
bach,019506b_.mid,019506b,2
bach,019710b_.mid,019710b,4
bach,022602b_.mid,022602b,2
bach,022602bv.mid,022602bv,4
bach,022701b_.mid,022701b,2
bach,022703b_.mid,022703b,2
bach,022711b_.mid,022711b,4
bach,022902b_.mid,022902b,2
bach,024310b_.mid,024310b,0
bach,024403b_.mid,024403b,2
bach,024410b_.mid,024410b,1
bach,024415b_.mid,024415b,4
bach,024415bv.mid,024415bv,4
bach,024417b_.mid,024417b,3
bach,024417bv.mid,024417bv,0
bach,024429bb.mid,024429bb,2
bach,024437b_.mid,024437b,0
bach,024440b_.mid,024440b,0
bach,024444b_.mid,024444b,0
bach,024446b_.mid,024446b,2
bach,024454b_.mid,024454b,0
bach,024462b_.mid,024462b,3
bach,024462bv.mid,024462bv,4
bach,024503b_.mid,024503b,3
bach,024505b_.mid,024505b,1
bach,024511b_.mid,024511b,2
bach,024514b_.mid,024514b,3
bach,024517b_.mid,024517b,0
bach,024522b_.mid,024522b,1
bach,024526b_.mid,024526b,3
bach,024528b_.mid,024528b,0
bach,024537b_.mid,024537b,2
bach,024540b_.mid,024540b,2
bach,024805b1.mid,024805b1,4
bach,024809b1.mid,024809b1,3
bach,024809bs.mid,024809bs,1
bach,024812b2.mid,024812b2,3
bach,024817b2.mid,024817b2,3
bach,024823b2.mid,024823b2,4
bach,024823bs.mid,024823bs,4
bach,024828b3.mid,024828b3,3
bach,024833b3.mid,024833b3,0
bach,024835b3.mid,024835b3,1
bach,024842b4.mid,024842b4,0
bach,024846b5.mid,024846b5,4
bach,024853b5.mid,024853b5,0
bach,024859b6.mid,024859b6,4
bach,024864b6.mid,024864b6,1
bach,024864bs.mid,024864bs,4
bach,024864qt.mid,024864qt,3
bach,025000b_.mid,025000b,3
bach,025100b_.mid,025100b,3
bach,025200b_.mid,025200b,2
bach,025300b_.mid,025300b,2
bach,025400b_.mid,025400b,4
bach,025500b_.mid,025500b,1
bach,025600b_.mid,025600b,0
bach,025700b_.mid,025700b,0
bach,025800b_.mid,025800b,2
bach,025900b_.mid,025900b,4
bach,026000b_.mid,026000b,2
bach,026100b_.mid,026100b,3
bach,026200b_.mid,026200b,2
bach,026300b_.mid,026300b,2
bach,026400b_.mid,026400b,4
bach,026500b_.mid,026500b,1
bach,026600b_.mid,026600b,2
bach,026700b_.mid,026700b,2
bach,026700ba.mid,026700ba,1
bach,026800b_.mid,026800b,1
bach,026900b_.mid,026900b,1
bach,027000b_.mid,027000b,1
bach,027100b_.mid,027100b,3
bach,027200b_.mid,027200b,0
bach,027300b_.mid,027300b,1
bach,027400b_.mid,027400b,2
bach,027500b_.mid,027500b,0
bach,027600b_.mid,027600b,1
bach,027800b_.mid,027800b,1
bach,027900b_.mid,027900b,4
bach,028000b_.mid,028000b,2
bach,028100b_.mid,028100b,4
bach,028200b_.mid,028200b,2
bach,028300b_.mid,028300b,2
bach,028400b_.mid,028400b,2
bach,028500b_.mid,028500b,2
bach,028600b_.mid,028600b,1
bach,028800b_.mid,028800b,3
bach,028900b_.mid,028900b,2
bach,029000b_.mid,029000b,3
bach,029100b_.mid,029100b,2
bach,029200b_.mid,029200b,4
bach,029300b_.mid,029300b,2
bach,029400b_.mid,029400b,2
bach,029600b_.mid,029600b,2
bach,029800b_.mid,029800b,1
bach,029900b_.mid,029900b,3
bach,030000b_.mid,030000b,0
bach,030200b_.mid,030200b,0
bach,030300b_.mid,030300b,2
bach,030400b_.mid,030400b,1
bach,030500b_.mid,030500b,4
bach,030600b_.mid,030600b,0
bach,030800b_.mid,030800b,0
bach,030900b_.mid,030900b,4
bach,031000b_.mid,031000b,1
bach,031100b_.mid,031100b,2
bach,031200b_.mid,031200b,0
bach,031300b_.mid,031300b,0
bach,031400b_.mid,031400b,1
bach,031600b_.mid,031600b,1
bach,031700b_.mid,031700b,2
bach,031800b_.mid,031800b,4
bach,032000b_.mid,032000b,2
bach,032100b_.mid,032100b,2
bach,032200b_.mid,032200b,4
bach,032300b_.mid,032300b,4
bach,032400b_.mid,032400b,0
bach,032500b_.mid,032500b,2
bach,032600b_.mid,032600b,3
bach,032700b_.mid,032700b,1
bach,032800b_.mid,032800b,3
bach,032900b_.mid,032900b,3
bach,033000b_.mid,033000b,1
bach,033100b_.mid,033100b,3
bach,033200b_.mid,033200b,0
bach,033300b_.mid,033300b,4
bach,033400b_.mid,033400b,2
bach,033500b_.mid,033500b,2
bach,033600b_.mid,033600b,2
bach,033700b_.mid,033700b,2
bach,033800b_.mid,033800b,1
bach,033900b_.mid,033900b,4
bach,034000b_.mid,034000b,3
bach,034100b_.mid,034100b,2
bach,034200b_.mid,034200b,2
bach,034300b_.mid,034300b,2
bach,034400b_.mid,034400b,4
bach,034600b_.mid,034600b,1
bach,034700b_.mid,034700b,3
bach,034800b_.mid,034800b,3
bach,034900b_.mid,034900b,3
bach,035000b_.mid,035000b,2
bach,035200b_.mid,035200b,4
bach,035300b_.mid,035300b,3
bach,035400b_.mid,035400b,4
bach,035500b_.mid,035500b,1
bach,035600b_.mid,035600b,0
bach,035700b_.mid,035700b,3
bach,035800b_.mid,035800b,3
bach,035900b_.mid,035900b,1
bach,036000b_.mid,036000b,4
bach,036100b_.mid,036100b,4
bach,036200b_.mid,036200b,3
bach,036300b_.mid,036300b,3
bach,036500b_.mid,036500b,0
bach,036600b_.mid,036600b,2
bach,036700b_.mid,036700b,0
bach,036800b_.mid,036800b,2
bach,036900b_.mid,036900b,1
bach,037000b_.mid,037000b,4
bach,037100b_.mid,037100b,2
bach,037200b_.mid,037200b,1
bach,037300b_.mid,037300b,0
bach,037300bv.mid,037300bv,2
bach,037400b_.mid,037400b,3
bach,037500b_.mid,037500b,4
bach,037600b_.mid,037600b,1
bach,037700b_.mid,037700b,4
bach,037800b_.mid,037800b,3
bach,037900b_.mid,037900b,1
bach,038000b_.mid,038000b,0
bach,038100b_.mid,038100b,4
bach,038300b_.mid,038300b,4
bach,038400b_.mid,038400b,4
bach,038500b_.mid,038500b,2
bach,038700b_.mid,038700b,2
bach,038800b_.mid,038800b,0
bach,038900b_.mid,038900b,3
bach,039000b_.mid,039000b,3
bach,039200b_.mid,039200b,1
bach,039300b_.mid,039300b,4
bach,039400b_.mid,039400b,3
bach,039500b_.mid,039500b,0
bach,039600b_.mid,039600b,3
bach,039700b_.mid,039700b,2
bach,039800b_.mid,039800b,1
bach,039900b_.mid,039900b,2
bach,040000b_.mid,040000b,3
bach,040100b_.mid,040100b,0
bach,040200b_.mid,040200b,4
bach,040400b_.mid,040400b,0
bach,040400bv.mid,040400bv,1
bach,040600b_.mid,040600b,0
bach,040700b_.mid,040700b,3
bach,040800b_.mid,040800b,0
bach,040900bv.mid,040900bv,0
bach,041000b_.mid,041000b,3
bach,041100b_.mid,041100b,4
bach,041200b_.mid,041200b,4
bach,041300b_.mid,041300b,0
bach,041400b_.mid,041400b,3
bach,041500b_.mid,041500b,0
bach,041600b_.mid,041600b,4
bach,041700b_.mid,041700b,1
bach,041800b_.mid,041800b,0
bach,041900b_.mid,041900b,4
bach,042000b_.mid,042000b,0
bach,042100b_.mid,042100b,1
bach,042200b_.mid,042200b,0
bach,042400b_.mid,042400b,0
bach,042500b_.mid,042500b,1
bach,042600b_.mid,042600b,0
bach,042800b_.mid,042800b,2
bach,042900b_.mid,042900b,3
bach,043000b_.mid,043000b,0
bach,043100b_.mid,043100b,3
bach,043200b_.mid,043200b,4
bach,043300b_.mid,043300b,4
bach,043400b_.mid,043400b,2
bach,043500b_.mid,043500b,1
bach,043600b_.mid,043600b,3
bach,043700b_.mid,043700b,3
bach,043800b_.mid,043800b,1
bach,060600b_.mid,060600b,3
bach,060800b_.mid,060800b,4
bach,060800qt.mid,060800qt,0
bach,064500b_.mid,064500b,3
bach,064600b_.mid,064600b,3
bach,064700b_.mid,064700b,1
bach,064800b_.mid,064800b,1
bach,065000b_.mid,065000b,0
bach,065100b_.mid,065100b,3
bach,065300b_.mid,065300b,4
bach,065400b_.mid,065400b,3
bach,065500b_.mid,065500b,2
bach,065800b_.mid,065800b,2
bach,065900b_.mid,065900b,4
bach,066000b_.mid,066000b,2
bach,066100b_.mid,066100b,2
bach,066200b_.mid,066200b,3
bach,066300b_.mid,066300b,2
bach,066400b_.mid,066400b,3
bach,066500b_.mid,066500b,0
bach,066800b_.mid,066800b,2
bach,066800com.mid,066800com,3
bach,069000b_.mid,069000b,3
bach,069100b_.mid,069100b,4
bach,069100orn.mid,069100orn,3
bach,069400b_.mid,069400b,3
bach,070000b_.mid,070000b,1
bach,070100b_.mid,070100b,3
bach,073300b_.mid,073300b,2
bach,073800b_.mid,073800b,3
bach,076901b_.mid,076901b,0
bach,076902b_.mid,076902b,2
bach,076904b_.mid,076904b,4
bach,076905b_.mid,076905b,1
bach,109100b_.mid,109100b,4
bach,Bwv0016.mid,bwv0016,2
bach,Bwv001.mid,bwv001,0
bach,Bwv0036.mid,bwv0036,4
bach,Bwv0048.mid,bwv0048,1
bach,Bwv0063.mid,bwv0063,0
bach,Bwv0066.mid,bwv0066,1
bach,Bwv0097.mid,bwv0097,1
bach,Bwv0107.mid,bwv0107,4
bach,Bwv0116.mid,bwv0116,4
bach,Bwv0127.mid,bwv0127,3
bach,Bwv0136.mid,bwv0136,1
bach,Bwv0145.mid,bwv0145,3
bach,Bwv0166.mid,bwv0166,4
bach,Bwv0177.mid,bwv0177,1
bach,Bwv0185.mid,bwv0185,4
bach,Bwv018a5.mid,bwv018a5,1
bach,Bwv0197.mid,bwv0197,1
bach,Bwv0197ch.mid,bwv0197ch,3
bach,Bwv02011.mid,bwv02011,0
bach,Bwv0207.mid,bwv0207,0
bach,Bwv0246.mid,bwv0246,4
bach,Bwv0256v1.mid,bwv0256v1,0
bach,Bwv0256v2.mid,bwv0256v2,4
bach,Bwv0266.mid,bwv0266,1
bach,Bwv0276.mid,bwv0276,4
bach,Bwv0286.mid,bwv0286,3
bach,Bwv0298.mid,bwv0298,2
bach,Bwv0298ch.mid,bwv0298ch,4
bach,Bwv0306.mid,bwv0306,0
bach,Bwv0306v.mid,bwv0306v,1
bach,Bwv0319.mid,bwv0319,4
bach,Bwv0336.mid,bwv0336,3
bach,Bwv03628.mid,bwv03628,1
bach,bsgjg_b.mid,bsgjg_b,1
bach,bsgjg_c.mid,bsgjg_c,1
bach,bsgjg_e.mid,bsgjg_e,0
bach,bsgjg_f.mid,bsgjg_f,0
bach,bsgjg_g.mid,bsgjg_g,2
bach,bsgjg_h.mid,bsgjg_h,0
bach,bsgjg_i.mid,bsgjg_i,3
bach,bsgjg_j.mid,bsgjg_j,2
bach,bsgjg_l.mid,bsgjg_l,3
bach,Bwv0525_Sonate_en_trio_n1.mid,bwv0525_sonate_en_trio_n1,1
bach,Bwv0526_Sonate_en_trio_n2.mid,bwv0526_sonate_en_trio_n2,2
bach,Bwv0527_Sonate_en_trio_n3.mid,bwv0527_sonate_en_trio_n3,3
bach,Bwv0528_Sonate_en_trio_n4.mid,bwv0528_sonate_en_trio_n4,2
bach,Bwv0529_Sonate_en_trio_n5.mid,bwv0529_sonate_en_trio_n5,1
bach,Bwv0530_Sonate_en_trio_n6.mid,bwv0530_sonate_en_trio_n6,0
bach,Bwv0532_Toccata_and_Fugue.mid,bwv0532_toccata_and_fugue,4
bach,Bwv0535_Prelude_and_Fugue.mid,bwv0535_prelude_and_fugue,0
bach,Bwv0536_Prelude_and_Fugue.mid,bwv0536_prelude_and_fugue,1
bach,Bwv0537_Fantasia_and_Fugue.mid,bwv0537_fantasia_and_fugue,1
bach,Bwv0538_Toccata_and_Fugue_Dorian.mid,bwv0538_toccata_and_fugue_dorian,0
bach,Bwv0539_Prelude_and_Fugue.mid,bwv0539_prelude_and_fugue,1
bach,Bwv0540_Toccata_and_Fugue.mid,bwv0540_toccata_and_fugue,4
bach,Bwv0541_Prelude_and_Fugue.mid,bwv0541_prelude_and_fugue,0
bach,Bwv0542_Fantasia_and_Fugue.mid,bwv0542_fantasia_and_fugue,4
bach,Bwv0543_Prelude_and_Fugue.mid,bwv0543_prelude_and_fugue,1
bach,Bwv0544_Prelude_and_Fugue.mid,bwv0544_prelude_and_fugue,2
bach,Bwv0546_Prelude_and_Fugue.mid,bwv0546_prelude_and_fugue,1
bach,Bwv0547_Prelude_and_Fugue.mid,bwv0547_prelude_and_fugue,1
bach,Bwv0549_Prelude_and_Fugue.mid,bwv0549_prelude_and_fugue,1
bach,Bwv0550_Prelude_and_Fugue.mid,bwv0550_prelude_and_fugue,4
bach,Bwv0551_Prelude_and_Fugue.mid,bwv0551_prelude_and_fugue,0
bach,Bwv0552_Prelude_and_Fugue_St_Anne.mid,bwv0552_prelude_and_fugue_st_anne,4
bach,Bwv0554_Short_Prelude_and_Fugue_n2_Spurious.mid,bwv0554_short_prelude_and_fugue_n2_spurious,1
bach,Bwv0556_Short_Prelude_and_Fugue_n4_Spurious.mid,bwv0556_short_prelude_and_fugue_n4_spurious,1
bach,Bwv0557_Short_Prelude_and_Fugue_n5_Spurious.mid,bwv0557_short_prelude_and_fugue_n5_spurious,2
bach,Bwv0558_Short_Prelude_and_Fugue_n6_Spurious.mid,bwv0558_short_prelude_and_fugue_n6_spurious,1
bach,Bwv0559_Short_Prelude_and_Fugue_n7_Spurious.mid,bwv0559_short_prelude_and_fugue_n7_spurious,3
bach,Bwv0560_Short_Prelude_and_Fugue_n8_Spurious.mid,bwv0560_short_prelude_and_fugue_n8_spurious,3
bach,Bwv0561_Fantasie_and_Fuga.mid,bwv0561_fantasie_and_fuga,3
bach,Bwv0563_Fantasie_con_imitation.mid,bwv0563_fantasie_con_imitation,0
bach,Bwv0564_Toccata_Adagio_and_Fugue.mid,bwv0564_toccata_adagio_and_fugue,2
bach,Bwv0565_Toccata_and_Fugue_In_Dm_A.mid,bwv0565_toccata_and_fugue_in_dm_a,1
bach,Bwv0565_Toccata_and_Fugue_In_Dm_B.mid,bwv0565_toccata_and_fugue_in_dm_b,3
bach,Bwv0565_Toccata_and_Fugue_In_Dm_C.mid,bwv0565_toccata_and_fugue_in_dm_c,2
bach,Bwv0566_Prelude_and_Fugue.mid,bwv0566_prelude_and_fugue,1
bach,Bwv0568_Prelude.mid,bwv0568_prelude,0
bach,Bwv0570_Fantasia.mid,bwv0570_fantasia,2
bach,Bwv0572_Fantasia.mid,bwv0572_fantasia,3
bach,Bwv0582_Passacaglia_and_Fugue_Orchestral.mid,bwv0582_passacaglia_and_fugue_orchestral,1
bach,Bwv0582_Passacaglia_and_Fugue.mid,bwv0582_passacaglia_and_fugue,0
bach,Bwv0594_Vivaldi_Concerto_Arrangement_RV208.mid,bwv0594_vivaldi_concerto_arrangement_rv208,1
bach,Bwv0733_Fuga_Sopra_Magnificat.mid,bwv0733_fuga_sopra_magnificat,1
bach,Bwv0806_English_Suite_n1_01mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_02mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_03mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_04mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_05mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_06mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_07mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_08mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_09mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0806_English_Suite_n1_10mov.mid,bwv0806_english_suite_n1,0
bach,Bwv0815_French_Suite_n4.mid,bwv0815_french_suite_n4,0
bach,Bwv0816_French_Suite_n5.mid,bwv0816_french_suite_n5,0
bach,Bwv0817_French_Suite_n6.mid,bwv0817_french_suite_n6,0
bach,Bwv0906_Fantasia_and_Fugue.mid,bwv0906_fantasia_and_fugue,2
bach,Bwv0911_Toccata.mid,bwv0911_toccata,4
bach,Bwv0912_Toccata.mid,bwv0912_toccata,2
bach,Bwv0913_Toccata.mid,bwv0913_toccata,3
bach,Bwv0914_Toccata.mid,bwv0914_toccata,2
bach,Bwv0915_Toccata.mid,bwv0915_toccata,3
bach,Bwv0916_Toccata.mid,bwv0916_toccata,1
bach,Bwv0933_Little_Prelude_n1.mid,bwv0933_little_prelude_n1,1
bach,Bwv0935_Little_Prelude_n3.mid,bwv0935_little_prelude_n3,2
bach,Bwv0936_Little_Prelude_n4.mid,bwv0936_little_prelude_n4,1
bach,Bwv0938_Little_Prelude_n6.mid,bwv0938_little_prelude_n6,0
bach,Bwv0963_Sonata.mid,bwv0963_sonata,1
bach,Bwv0967_Sonata.mid,bwv0967_sonata,1
bach,Bwv0992_Capriccio.mid,bwv0992_capriccio,1
bach,Bwv0996_Suite_for_Lute.mid,bwv0996_suite_for_lute,4
bach,Bwv0997_Partita_for_Lute_1mov.mid,bwv0997_partita_for_lute,4
bach,Bwv0997_Partita_for_Lute_2mov.mid,bwv0997_partita_for_lute,4
bach,Bwv0997_Partita_for_Lute_3mov.mid,bwv0997_partita_for_lute,4
bach,Bwv0997_Partita_for_Lute_4mov.mid,bwv0997_partita_for_lute,4
bach,Bwv0997_Partita_for_Lute_5mov.mid,bwv0997_partita_for_lute,4
bach,Bwv0998_Prelude_Fugue_Allegro_for_Lute_1mov.mid,bwv0998_prelude_fugue_allegro_for_lute,2
bach,Bwv0998_Prelude_Fugue_Allegro_for_Lute_2mov.mid,bwv0998_prelude_fugue_allegro_for_lute,2
bach,Bwv0998_Prelude_Fugue_Allegro_for_Lute_3mov.mid,bwv0998_prelude_fugue_allegro_for_lute,2
bach,Bwv1005_Violin_Sonata_n3_1mov_Adagio.mid,bwv1005_violin_sonata_n3_1mov_adagio,0
bach,Bwv1005_Violin_Sonata_n3_2mov_Fugue.mid,bwv1005_violin_sonata_n3_2mov_fugue,2
bach,Bwv1005_Violin_Sonata_n3_3mov_Largo.mid,bwv1005_violin_sonata_n3_3mov_largo,2
bach,Bwv1005_Violin_Sonata_n3_4mov_Allegro.mid,bwv1005_violin_sonata_n3_4mov_allegro,1
bach,Bwv1014_Harpsicord_and_Violin_Sonata_1mov.mid,bwv1014_harpsicord_and_violin_sonata,3
bach,Bwv1014_Harpsicord_and_Violin_Sonata_2mov.mid,bwv1014_harpsicord_and_violin_sonata,3
bach,Bwv1014_Harpsicord_and_Violin_Sonata_3mov.mid,bwv1014_harpsicord_and_violin_sonata,3
bach,Bwv1014_Harpsicord_and_Violin_Sonata_4mov.mid,bwv1014_harpsicord_and_violin_sonata,3
bach,Bwv1066_Orchestral_Suite_n1_1mov.mid,bwv1066_orchestral_suite_n1,2
bach,Bwv1066_Orchestral_Suite_n1_2mov.mid,bwv1066_orchestral_suite_n1,2
bach,Bwv1066_Orchestral_Suite_n1_3mov.mid,bwv1066_orchestral_suite_n1,2
bach,Bwv1066_Orchestral_Suite_n1_4mov.mid,bwv1066_orchestral_suite_n1,2
bach,Bwv1066_Orchestral_Suite_n1_5mov.mid,bwv1066_orchestral_suite_n1,2
bach,Bwv1066_Orchestral_Suite_n1_6mov.mid,bwv1066_orchestral_suite_n1,2
bach,Bwv1066_Orchestral_Suite_n1_7mov.mid,bwv1066_orchestral_suite_n1,2
bach,Bwv1067_Orchestral_Suite_n2_1mov.mid,bwv1067_orchestral_suite_n2,1
bach,Bwv1067_Orchestral_Suite_n2_2mov.mid,bwv1067_orchestral_suite_n2,1
bach,Bwv1067_Orchestral_Suite_n2_3mov.mid,bwv1067_orchestral_suite_n2,1
bach,Bwv1067_Orchestral_Suite_n2_4mov.mid,bwv1067_orchestral_suite_n2,1
bach,Bwv1067_Orchestral_Suite_n2_5mov.mid,bwv1067_orchestral_suite_n2,1
bach,Bwv1067_Orchestral_Suite_n2_6mov.mid,bwv1067_orchestral_suite_n2,1
bach,Bwv1067_Orchestral_Suite_n2_7mov.mid,bwv1067_orchestral_suite_n2,1
bach,Bwv1068_Orchestral_Suite_n3_1mov.mid,bwv1068_orchestral_suite_n3,4
bach,Bwv1068_Orchestral_Suite_n3_2mov.mid,bwv1068_orchestral_suite_n3,4
bach,Bwv1068_Orchestral_Suite_n3_3mov.mid,bwv1068_orchestral_suite_n3,4
bach,Bwv1068_Orchestral_Suite_n3_4mov.mid,bwv1068_orchestral_suite_n3,4
bach,Bwv1068_Orchestral_Suite_n3_5mov.mid,bwv1068_orchestral_suite_n3,4
bach,Bwv1069_Orchestral_Suite_n4_1mov.mid,bwv1069_orchestral_suite_n4,3
bach,Bwv1069_Orchestral_Suite_n4_2mov.mid,bwv1069_orchestral_suite_n4,3
bach,Bwv1069_Orchestral_Suite_n4_3mov.mid,bwv1069_orchestral_suite_n4,3
bach,Bwv1069_Orchestral_Suite_n4_4mov.mid,bwv1069_orchestral_suite_n4,3
bach,Bwv1069_Orchestral_Suite_n4_5mov.mid,bwv1069_orchestral_suite_n4,3
bach,Bwv1066_Orchestral_suite_n1_Bouree.mid,bwv1066_orchestral_suite_n1_bouree,4
bach,Bwv1066_Orchestral_suite_n1_Courante.mid,bwv1066_orchestral_suite_n1_courante,3
bach,Bwv1066_Orchestral_suite_n1_Forlane.mid,bwv1066_orchestral_suite_n1_forlane,1
bach,Bwv1066_Orchestral_suite_n1_Gavotte.mid,bwv1066_orchestral_suite_n1_gavotte,2
bach,Bwv1066_Orchestral_suite_n1_Menuet.mid,bwv1066_orchestral_suite_n1_menuet,3
bach,Bwv1066_Orchestral_suite_n1_Overture.mid,bwv1066_orchestral_suite_n1_overture,2
