composer,filename,npz_path,seq_len
bach,015905b_.mid,processed\lstm\bach\015905b_.npz,343
bach,016106b_.mid,processed\lstm\bach\016106b_.npz,524
bach,016206b_.mid,processed\lstm\bach\016206b_.npz,291
bach,016406b_.mid,processed\lstm\bach\016406b_.npz,236
bach,016506b_.mid,processed\lstm\bach\016506b_.npz,157
bach,016606b_.mid,processed\lstm\bach\016606b_.npz,212
bach,016806b_.mid,processed\lstm\bach\016806b_.npz,280
bach,016907b_.mid,processed\lstm\bach\016907b_.npz,248
bach,017106b_.mid,processed\lstm\bach\017106b_.npz,927
bach,017206b_.mid,processed\lstm\bach\017206b_.npz,483
bach,017206ch.mid,processed\lstm\bach\017206ch.npz,483
bach,017206vn.mid,processed\lstm\bach\017206vn.npz,123
bach,017405b_.mid,processed\lstm\bach\017405b_.npz,494
bach,017507b_.mid,processed\lstm\bach\017507b_.npz,745
bach,017507ch.mid,processed\lstm\bach\017507ch.npz,424
bach,017606b_.mid,processed\lstm\bach\017606b_.npz,361
bach,017705b_.mid,processed\lstm\bach\017705b_.npz,426
bach,017705bv.mid,processed\lstm\bach\017705bv.npz,426
bach,017807b_.mid,processed\lstm\bach\017807b_.npz,266
bach,017906b_.mid,processed\lstm\bach\017906b_.npz,331
bach,018007b_.mid,processed\lstm\bach\018007b_.npz,332
bach,018007bv.mid,processed\lstm\bach\018007bv.npz,332
bach,018305b_.mid,processed\lstm\bach\018305b_.npz,324
bach,018405b_.mid,processed\lstm\bach\018405b_.npz,404
bach,018405bv.mid,processed\lstm\bach\018405bv.npz,404
bach,018506b_.mid,processed\lstm\bach\018506b_.npz,432
bach,018707b_.mid,processed\lstm\bach\018707b_.npz,282
bach,018806b_.mid,processed\lstm\bach\018806b_.npz,204
bach,019007b_.mid,processed\lstm\bach\019007b_.npz,1643
bach,019007ch.mid,processed\lstm\bach\019007ch.npz,444
bach,019406b_.mid,processed\lstm\bach\019406b_.npz,293
bach,019406bv.mid,processed\lstm\bach\019406bv.npz,293
bach,019412b_.mid,processed\lstm\bach\019412b_.npz,189
bach,019506b_.mid,processed\lstm\bach\019506b_.npz,372
bach,019705b_.mid,processed\lstm\bach\019705b_.npz,279
bach,019707ba.mid,processed\lstm\bach\019707ba.npz,258
bach,019710b_.mid,processed\lstm\bach\019710b_.npz,228
bach,022602b_.mid,processed\lstm\bach\022602b_.npz,426
bach,022602bv.mid,processed\lstm\bach\022602bv.npz,426
bach,022701b_.mid,processed\lstm\bach\022701b_.npz,279
bach,022703b_.mid,processed\lstm\bach\022703b_.npz,370
bach,022707b_.mid,processed\lstm\bach\022707b_.npz,413
bach,022709b_.mid,processed\lstm\bach\022709b_.npz,972
bach,022711b_.mid,processed\lstm\bach\022711b_.npz,279
bach,022902b_.mid,processed\lstm\bach\022902b_.npz,359
bach,024310b_.mid,processed\lstm\bach\024310b_.npz,570
bach,024403b_.mid,processed\lstm\bach\024403b_.npz,193
bach,024410b_.mid,processed\lstm\bach\024410b_.npz,221
bach,024415b_.mid,processed\lstm\bach\024415b_.npz,259
bach,024415bv.mid,processed\lstm\bach\024415bv.npz,259
bach,024417b_.mid,processed\lstm\bach\024417b_.npz,259
bach,024417bv.mid,processed\lstm\bach\024417bv.npz,259
bach,024425b_.mid,processed\lstm\bach\024425b_.npz,310
bach,024429bb.mid,processed\lstm\bach\024429bb.npz,344
bach,024432b_.mid,processed\lstm\bach\024432b_.npz,207
bach,024437b_.mid,processed\lstm\bach\024437b_.npz,218
bach,024440b_.mid,processed\lstm\bach\024440b_.npz,310
bach,024444b_.mid,processed\lstm\bach\024444b_.npz,258
bach,024446b_.mid,processed\lstm\bach\024446b_.npz,186
bach,024454b_.mid,processed\lstm\bach\024454b_.npz,253
bach,024462b_.mid,processed\lstm\bach\024462b_.npz,262
bach,024462bv.mid,processed\lstm\bach\024462bv.npz,262
bach,024503b_.mid,processed\lstm\bach\024503b_.npz,232
bach,024505b_.mid,processed\lstm\bach\024505b_.npz,290
bach,024511b_.mid,processed\lstm\bach\024511b_.npz,206
bach,024514b_.mid,processed\lstm\bach\024514b_.npz,318
bach,024515B_.mid,processed\lstm\bach\024515B_.npz,249
bach,024517b_.mid,processed\lstm\bach\024517b_.npz,218
bach,024522b_.mid,processed\lstm\bach\024522b_.npz,229
bach,024526b_.mid,processed\lstm\bach\024526b_.npz,225
bach,024528b_.mid,processed\lstm\bach\024528b_.npz,235
bach,024537b_.mid,processed\lstm\bach\024537b_.npz,248
bach,024540b_.mid,processed\lstm\bach\024540b_.npz,495
bach,024805b1.mid,processed\lstm\bach\024805b1.npz,362
bach,024809b1.mid,processed\lstm\bach\024809b1.npz,532
bach,024809bs.mid,processed\lstm\bach\024809bs.npz,224
bach,024812b2.mid,processed\lstm\bach\024812b2.npz,412
bach,024817b2.mid,processed\lstm\bach\024817b2.npz,253
bach,024823b2.mid,processed\lstm\bach\024823b2.npz,500
bach,024823bs.mid,processed\lstm\bach\024823bs.npz,185
bach,024828b3.mid,processed\lstm\bach\024828b3.npz,223
bach,024833b3.mid,processed\lstm\bach\024833b3.npz,208
bach,024835b3.mid,processed\lstm\bach\024835b3.npz,306
bach,024842b4.mid,processed\lstm\bach\024842b4.npz,1788
bach,024842bs.mid,processed\lstm\bach\024842bs.npz,283
bach,024846b5.mid,processed\lstm\bach\024846b5.npz,233
bach,024853b5.mid,processed\lstm\bach\024853b5.npz,241
bach,024859b6.mid,processed\lstm\bach\024859b6.npz,387
bach,024864b6.mid,processed\lstm\bach\024864b6.npz,3587
bach,024864bs.mid,processed\lstm\bach\024864bs.npz,275
bach,024864qt.mid,processed\lstm\bach\024864qt.npz,3585
bach,025000b_.mid,processed\lstm\bach\025000b_.npz,473
bach,025100b_.mid,processed\lstm\bach\025100b_.npz,459
bach,025200b_.mid,processed\lstm\bach\025200b_.npz,498
bach,025300b_.mid,processed\lstm\bach\025300b_.npz,164
bach,025400b_.mid,processed\lstm\bach\025400b_.npz,205
bach,025500b_.mid,processed\lstm\bach\025500b_.npz,139
bach,025600b_.mid,processed\lstm\bach\025600b_.npz,282
bach,025700b_.mid,processed\lstm\bach\025700b_.npz,282
bach,025800b_.mid,processed\lstm\bach\025800b_.npz,266
bach,025900b_.mid,processed\lstm\bach\025900b_.npz,227
bach,026000b_.mid,processed\lstm\bach\026000b_.npz,302
bach,026100b_.mid,processed\lstm\bach\026100b_.npz,401
bach,026200b_.mid,processed\lstm\bach\026200b_.npz,260
bach,026300b_.mid,processed\lstm\bach\026300b_.npz,231
bach,026400b_.mid,processed\lstm\bach\026400b_.npz,142
bach,026500b_.mid,processed\lstm\bach\026500b_.npz,148
bach,026600b_.mid,processed\lstm\bach\026600b_.npz,236
bach,026700b_.mid,processed\lstm\bach\026700b_.npz,404
bach,026700ba.mid,processed\lstm\bach\026700ba.npz,404
bach,026800b_.mid,processed\lstm\bach\026800b_.npz,245
bach,026900b_.mid,processed\lstm\bach\026900b_.npz,302
bach,027000b_.mid,processed\lstm\bach\027000b_.npz,271
bach,027100b_.mid,processed\lstm\bach\027100b_.npz,260
bach,027200b_.mid,processed\lstm\bach\027200b_.npz,253
bach,027300b_.mid,processed\lstm\bach\027300b_.npz,206
bach,027400b_.mid,processed\lstm\bach\027400b_.npz,181
bach,027500b_.mid,processed\lstm\bach\027500b_.npz,224
bach,027600b_.mid,processed\lstm\bach\027600b_.npz,554
bach,027700b_.mid,processed\lstm\bach\027700b_.npz,315
bach,027800b_.mid,processed\lstm\bach\027800b_.npz,336
bach,027900b_.mid,processed\lstm\bach\027900b_.npz,273
bach,028000b_.mid,processed\lstm\bach\028000b_.npz,354
bach,028100b_.mid,processed\lstm\bach\028100b_.npz,120
bach,028200b_.mid,processed\lstm\bach\028200b_.npz,149
bach,028300b_.mid,processed\lstm\bach\028300b_.npz,311
bach,028400b_.mid,processed\lstm\bach\028400b_.npz,257
bach,028500b_.mid,processed\lstm\bach\028500b_.npz,235
bach,028600b_.mid,processed\lstm\bach\028600b_.npz,103
bach,028700b_.mid,processed\lstm\bach\028700b_.npz,267
bach,028800b_.mid,processed\lstm\bach\028800b_.npz,245
bach,028900b_.mid,processed\lstm\bach\028900b_.npz,219
bach,029000b_.mid,processed\lstm\bach\029000b_.npz,147
bach,029100b_.mid,processed\lstm\bach\029100b_.npz,184
bach,029200b_.mid,processed\lstm\bach\029200b_.npz,250
bach,029300b_.mid,processed\lstm\bach\029300b_.npz,145
bach,029400b_.mid,processed\lstm\bach\029400b_.npz,366
bach,029500b_.mid,processed\lstm\bach\029500b_.npz,180
bach,029600b_.mid,processed\lstm\bach\029600b_.npz,190
bach,029700b_.mid,processed\lstm\bach\029700b_.npz,206
bach,029800b_.mid,processed\lstm\bach\029800b_.npz,184
bach,029900b_.mid,processed\lstm\bach\029900b_.npz,319
bach,030000b_.mid,processed\lstm\bach\030000b_.npz,227
bach,030100b_.mid,processed\lstm\bach\030100b_.npz,296
bach,030200b_.mid,processed\lstm\bach\030200b_.npz,313
bach,030300b_.mid,processed\lstm\bach\030300b_.npz,328
bach,030400b_.mid,processed\lstm\bach\030400b_.npz,378
bach,030500b_.mid,processed\lstm\bach\030500b_.npz,362
bach,030600b_.mid,processed\lstm\bach\030600b_.npz,190
bach,030700b_.mid,processed\lstm\bach\030700b_.npz,271
bach,030800b_.mid,processed\lstm\bach\030800b_.npz,248
bach,030900b_.mid,processed\lstm\bach\030900b_.npz,331
bach,031000b_.mid,processed\lstm\bach\031000b_.npz,168
bach,031100b_.mid,processed\lstm\bach\031100b_.npz,384
bach,031200b_.mid,processed\lstm\bach\031200b_.npz,415
bach,031300b_.mid,processed\lstm\bach\031300b_.npz,284
bach,031400b_.mid,processed\lstm\bach\031400b_.npz,188
bach,031500b_.mid,processed\lstm\bach\031500b_.npz,353
bach,031600b_.mid,processed\lstm\bach\031600b_.npz,331
bach,031700b_.mid,processed\lstm\bach\031700b_.npz,483
bach,031800b_.mid,processed\lstm\bach\031800b_.npz,199
bach,031900b_.mid,processed\lstm\bach\031900b_.npz,200
bach,032000b_.mid,processed\lstm\bach\032000b_.npz,378
bach,032100b_.mid,processed\lstm\bach\032100b_.npz,230
bach,032200b_.mid,processed\lstm\bach\032200b_.npz,440
bach,032300b_.mid,processed\lstm\bach\032300b_.npz,99
bach,032400b_.mid,processed\lstm\bach\032400b_.npz,83
bach,032500b_.mid,processed\lstm\bach\032500b_.npz,287
bach,032600b_.mid,processed\lstm\bach\032600b_.npz,189
bach,032700b_.mid,processed\lstm\bach\032700b_.npz,149
bach,032800b_.mid,processed\lstm\bach\032800b_.npz,2129
bach,032900b_.mid,processed\lstm\bach\032900b_.npz,224
bach,033000b_.mid,processed\lstm\bach\033000b_.npz,267
bach,033100b_.mid,processed\lstm\bach\033100b_.npz,219
bach,033200b_.mid,processed\lstm\bach\033200b_.npz,152
bach,033300b_.mid,processed\lstm\bach\033300b_.npz,295
bach,033400b_.mid,processed\lstm\bach\033400b_.npz,271
bach,033500b_.mid,processed\lstm\bach\033500b_.npz,154
bach,033500bv.mid,processed\lstm\bach\033500bv.npz,154
bach,033600b_.mid,processed\lstm\bach\033600b_.npz,156
bach,033700b_.mid,processed\lstm\bach\033700b_.npz,200
bach,033800b_.mid,processed\lstm\bach\033800b_.npz,282
bach,033900b_.mid,processed\lstm\bach\033900b_.npz,276
bach,034000b_.mid,processed\lstm\bach\034000b_.npz,530
bach,034100b_.mid,processed\lstm\bach\034100b_.npz,141
bach,034200b_.mid,processed\lstm\bach\034200b_.npz,230
bach,034300b_.mid,processed\lstm\bach\034300b_.npz,308
bach,034400b_.mid,processed\lstm\bach\034400b_.npz,238
bach,034500b_.mid,processed\lstm\bach\034500b_.npz,331
bach,034600b_.mid,processed\lstm\bach\034600b_.npz,241
bach,034700b_.mid,processed\lstm\bach\034700b_.npz,296
bach,034800b_.mid,processed\lstm\bach\034800b_.npz,275
bach,034900b_.mid,processed\lstm\bach\034900b_.npz,161
bach,035000b_.mid,processed\lstm\bach\035000b_.npz,352
bach,035100b_.mid,processed\lstm\bach\035100b_.npz,178
bach,035200b_.mid,processed\lstm\bach\035200b_.npz,321
bach,035300b_.mid,processed\lstm\bach\035300b_.npz,315
bach,035400b_.mid,processed\lstm\bach\035400b_.npz,318
bach,035500b_.mid,processed\lstm\bach\035500b_.npz,278
bach,035600b_.mid,processed\lstm\bach\035600b_.npz,303
bach,035700b_.mid,processed\lstm\bach\035700b_.npz,287
bach,035800b_.mid,processed\lstm\bach\035800b_.npz,292
bach,035900b_.mid,processed\lstm\bach\035900b_.npz,272
bach,036000b_.mid,processed\lstm\bach\036000b_.npz,265
bach,036100b_.mid,processed\lstm\bach\036100b_.npz,221
bach,036200b_.mid,processed\lstm\bach\036200b_.npz,605
bach,036300b_.mid,processed\lstm\bach\036300b_.npz,208
bach,036400b_.mid,processed\lstm\bach\036400b_.npz,164
bach,036500b_.mid,processed\lstm\bach\036500b_.npz,223
bach,036600b_.mid,processed\lstm\bach\036600b_.npz,265
bach,036700b_.mid,processed\lstm\bach\036700b_.npz,202
bach,036800b_.mid,processed\lstm\bach\036800b_.npz,312
bach,036900b_.mid,processed\lstm\bach\036900b_.npz,255
bach,037000b_.mid,processed\lstm\bach\037000b_.npz,144
bach,037100b_.mid,processed\lstm\bach\037100b_.npz,791
bach,037200b_.mid,processed\lstm\bach\037200b_.npz,309
bach,037300b_.mid,processed\lstm\bach\037300b_.npz,234
bach,037300bv.mid,processed\lstm\bach\037300bv.npz,236
bach,037400b_.mid,processed\lstm\bach\037400b_.npz,321
bach,037500b_.mid,processed\lstm\bach\037500b_.npz,187
bach,037600b_.mid,processed\lstm\bach\037600b_.npz,183
bach,037700b_.mid,processed\lstm\bach\037700b_.npz,226
bach,037800b_.mid,processed\lstm\bach\037800b_.npz,248
bach,037900b_.mid,processed\lstm\bach\037900b_.npz,227
bach,038000b_.mid,processed\lstm\bach\038000b_.npz,258
bach,038100b_.mid,processed\lstm\bach\038100b_.npz,270
bach,038200b_.mid,processed\lstm\bach\038200b_.npz,232
bach,038300b_.mid,processed\lstm\bach\038300b_.npz,525
bach,038400b_.mid,processed\lstm\bach\038400b_.npz,197
bach,038500b_.mid,processed\lstm\bach\038500b_.npz,233
bach,038600b_.mid,processed\lstm\bach\038600b_.npz,254
bach,038700b_.mid,processed\lstm\bach\038700b_.npz,160
bach,038800b_.mid,processed\lstm\bach\038800b_.npz,286
bach,038900b_.mid,processed\lstm\bach\038900b_.npz,452
bach,039000b_.mid,processed\lstm\bach\039000b_.npz,430
bach,039100b_.mid,processed\lstm\bach\039100b_.npz,252
bach,039200b_.mid,processed\lstm\bach\039200b_.npz,213
bach,039300b_.mid,processed\lstm\bach\039300b_.npz,198
bach,039400b_.mid,processed\lstm\bach\039400b_.npz,243
bach,039500b_.mid,processed\lstm\bach\039500b_.npz,209
bach,039600b_.mid,processed\lstm\bach\039600b_.npz,127
bach,039700b_.mid,processed\lstm\bach\039700b_.npz,333
bach,039800b_.mid,processed\lstm\bach\039800b_.npz,258
bach,039900b_.mid,processed\lstm\bach\039900b_.npz,264
bach,040000b_.mid,processed\lstm\bach\040000b_.npz,179
bach,040100b_.mid,processed\lstm\bach\040100b_.npz,284
bach,040200b_.mid,processed\lstm\bach\040200b_.npz,458
bach,040300b_.mid,processed\lstm\bach\040300b_.npz,240
bach,040400b_.mid,processed\lstm\bach\040400b_.npz,137
bach,040400bv.mid,processed\lstm\bach\040400bv.npz,137
bach,040500b_.mid,processed\lstm\bach\040500b_.npz,181
bach,040600b_.mid,processed\lstm\bach\040600b_.npz,198
bach,040700b_.mid,processed\lstm\bach\040700b_.npz,381
bach,040800b_.mid,processed\lstm\bach\040800b_.npz,174
bach,040900b_.mid,processed\lstm\bach\040900b_.npz,179
bach,040900bv.mid,processed\lstm\bach\040900bv.npz,171
bach,041000b_.mid,processed\lstm\bach\041000b_.npz,228
bach,041100b_.mid,processed\lstm\bach\041100b_.npz,338
bach,041200b_.mid,processed\lstm\bach\041200b_.npz,254
bach,041300b_.mid,processed\lstm\bach\041300b_.npz,475
bach,041400b_.mid,processed\lstm\bach\041400b_.npz,240
bach,041500b_.mid,processed\lstm\bach\041500b_.npz,278
bach,041600b_.mid,processed\lstm\bach\041600b_.npz,216
bach,041700b_.mid,processed\lstm\bach\041700b_.npz,311
bach,041800b_.mid,processed\lstm\bach\041800b_.npz,275
bach,041900b_.mid,processed\lstm\bach\041900b_.npz,271
bach,042000b_.mid,processed\lstm\bach\042000b_.npz,198
bach,042100b_.mid,processed\lstm\bach\042100b_.npz,180
bach,042200b_.mid,processed\lstm\bach\042200b_.npz,216
bach,042300b_.mid,processed\lstm\bach\042300b_.npz,288
bach,042400b_.mid,processed\lstm\bach\042400b_.npz,181
bach,042500b_.mid,processed\lstm\bach\042500b_.npz,517
bach,042600b_.mid,processed\lstm\bach\042600b_.npz,272
bach,042700b_.mid,processed\lstm\bach\042700b_.npz,201
bach,042800b_.mid,processed\lstm\bach\042800b_.npz,275
bach,042900b_.mid,processed\lstm\bach\042900b_.npz,287
bach,043000b_.mid,processed\lstm\bach\043000b_.npz,296
bach,043100b_.mid,processed\lstm\bach\043100b_.npz,171
bach,043200b_.mid,processed\lstm\bach\043200b_.npz,177
bach,043300b_.mid,processed\lstm\bach\043300b_.npz,403
bach,043400b_.mid,processed\lstm\bach\043400b_.npz,263
bach,043500b_.mid,processed\lstm\bach\043500b_.npz,216
