composer,filename,npy_path,time_steps,file_kb
bach,014806b_.mid,processed\cnn\bach\014806b_.npy,130,11.3
bach,014806bv.mid,processed\cnn\bach\014806bv.npy,124,10.8
bach,014907b_.mid,processed\cnn\bach\014907b_.npy,270,23.3
bach,014907ch.mid,processed\cnn\bach\014907ch.npy,270,23.3
bach,015105b_.mid,processed\cnn\bach\015105b_.npy,110,9.6
bach,015301b_.mid,processed\cnn\bach\015301b_.npy,150,13.0
bach,015305b_.mid,processed\cnn\bach\015305b_.npy,170,14.7
bach,015309b_.mid,processed\cnn\bach\015309b_.npy,120,10.4
bach,015403b_.mid,processed\cnn\bach\015403b_.npy,160,13.9
bach,015408b_.mid,processed\cnn\bach\015408b_.npy,130,11.3
bach,015505b_.mid,processed\cnn\bach\015505b_.npy,144,12.5
bach,015606b_.mid,processed\cnn\bach\015606b_.npy,180,15.6
bach,015705b_.mid,processed\cnn\bach\015705b_.npy,122,10.6
bach,015804b_.mid,processed\cnn\bach\015804b_.npy,185,16.0
bach,015905b_.mid,processed\cnn\bach\015905b_.npy,166,14.4
bach,016106b_.mid,processed\cnn\bach\016106b_.npy,199,17.2
bach,016206b_.mid,processed\cnn\bach\016206b_.npy,160,13.9
bach,016406b_.mid,processed\cnn\bach\016406b_.npy,138,12.0
bach,016506b_.mid,processed\cnn\bach\016506b_.npy,86,7.5
bach,016606b_.mid,processed\cnn\bach\016606b_.npy,150,13.0
bach,016806b_.mid,processed\cnn\bach\016806b_.npy,160,13.9
bach,016907b_.mid,processed\cnn\bach\016907b_.npy,160,13.9
bach,017106b_.mid,processed\cnn\bach\017106b_.npy,403,34.8
bach,017206b_.mid,processed\cnn\bach\017206b_.npy,226,19.5
bach,017206ch.mid,processed\cnn\bach\017206ch.npy,332,28.7
bach,017206vn.mid,processed\cnn\bach\017206vn.npy,226,19.5
bach,017405b_.mid,processed\cnn\bach\017405b_.npy,283,24.4
bach,017507b_.mid,processed\cnn\bach\017507b_.npy,267,23.1
bach,017507ch.mid,processed\cnn\bach\017507ch.npy,267,23.1
bach,017606b_.mid,processed\cnn\bach\017606b_.npy,190,16.5
bach,017705b_.mid,processed\cnn\bach\017705b_.npy,196,17.0
bach,017705bv.mid,processed\cnn\bach\017705bv.npy,196,17.0
bach,017807b_.mid,processed\cnn\bach\017807b_.npy,150,13.0
bach,017906b_.mid,processed\cnn\bach\017906b_.npy,181,15.7
bach,018007b_.mid,processed\cnn\bach\018007b_.npy,200,17.3
bach,018007bv.mid,processed\cnn\bach\018007bv.npy,200,17.3
bach,018305b_.mid,processed\cnn\bach\018305b_.npy,170,14.7
bach,018405b_.mid,processed\cnn\bach\018405b_.npy,200,17.3
bach,018405bv.mid,processed\cnn\bach\018405bv.npy,200,17.3
bach,018506b_.mid,processed\cnn\bach\018506b_.npy,180,15.6
bach,018707b_.mid,processed\cnn\bach\018707b_.npy,210,18.2
bach,018806b_.mid,processed\cnn\bach\018806b_.npy,127,11.0
bach,019007b_.mid,processed\cnn\bach\019007b_.npy,330,28.5
bach,019007ch.mid,processed\cnn\bach\019007ch.npy,327,28.2
bach,019406b_.mid,processed\cnn\bach\019406b_.npy,170,14.7
bach,019406bv.mid,processed\cnn\bach\019406bv.npy,170,14.7
bach,019412b_.mid,processed\cnn\bach\019412b_.npy,102,8.9
bach,019506b_.mid,processed\cnn\bach\019506b_.npy,107,9.3
bach,019705b_.mid,processed\cnn\bach\019705b_.npy,150,13.0
bach,019707ba.mid,processed\cnn\bach\019707ba.npy,170,14.7
bach,019710b_.mid,processed\cnn\bach\019710b_.npy,155,13.4
bach,022602b_.mid,processed\cnn\bach\022602b_.npy,260,22.5
bach,022602bv.mid,processed\cnn\bach\022602bv.npy,260,22.5
bach,022701b_.mid,processed\cnn\bach\022701b_.npy,190,16.5
bach,022703b_.mid,processed\cnn\bach\022703b_.npy,190,16.5
bach,022707b_.mid,processed\cnn\bach\022707b_.npy,239,20.7
bach,022709b_.mid,processed\cnn\bach\022709b_.npy,636,54.8
bach,022711b_.mid,processed\cnn\bach\022711b_.npy,190,16.5
bach,022902b_.mid,processed\cnn\bach\022902b_.npy,210,18.2
bach,024310b_.mid,processed\cnn\bach\024310b_.npy,277,23.9
bach,024403b_.mid,processed\cnn\bach\024403b_.npy,120,10.4
bach,024410b_.mid,processed\cnn\bach\024410b_.npy,124,10.8
bach,024415b_.mid,processed\cnn\bach\024415b_.npy,170,14.7
bach,024415bv.mid,processed\cnn\bach\024415bv.npy,170,14.7
bach,024417b_.mid,processed\cnn\bach\024417b_.npy,170,14.7
bach,024417bv.mid,processed\cnn\bach\024417bv.npy,170,14.7
bach,024425b_.mid,processed\cnn\bach\024425b_.npy,170,14.7
bach,024429bb.mid,processed\cnn\bach\024429bb.npy,130,11.3
bach,024432b_.mid,processed\cnn\bach\024432b_.npy,120,10.4
bach,024437b_.mid,processed\cnn\bach\024437b_.npy,141,12.2
bach,024440b_.mid,processed\cnn\bach\024440b_.npy,161,14.0
bach,024444b_.mid,processed\cnn\bach\024444b_.npy,170,14.7
bach,024446b_.mid,processed\cnn\bach\024446b_.npy,120,10.4
bach,024454b_.mid,processed\cnn\bach\024454b_.npy,181,15.7
bach,024462b_.mid,processed\cnn\bach\024462b_.npy,170,14.7
bach,024462bv.mid,processed\cnn\bach\024462bv.npy,170,14.7
bach,024503b_.mid,processed\cnn\bach\024503b_.npy,125,10.9
bach,024505b_.mid,processed\cnn\bach\024505b_.npy,130,11.3
bach,024511b_.mid,processed\cnn\bach\024511b_.npy,130,11.3
bach,024514b_.mid,processed\cnn\bach\024514b_.npy,160,13.9
bach,024515B_.mid,processed\cnn\bach\024515B_.npy,170,14.7
bach,024517b_.mid,processed\cnn\bach\024517b_.npy,120,10.4
bach,024522b_.mid,processed\cnn\bach\024522b_.npy,132,11.5
bach,024526b_.mid,processed\cnn\bach\024526b_.npy,170,14.7
bach,024528b_.mid,processed\cnn\bach\024528b_.npy,147,12.8
bach,024537b_.mid,processed\cnn\bach\024537b_.npy,170,14.7
bach,024540b_.mid,processed\cnn\bach\024540b_.npy,290,25.0
bach,024805b1.mid,processed\cnn\bach\024805b1.npy,170,14.7
bach,024809b1.mid,processed\cnn\bach\024809b1.npy,174,15.1
bach,024809bs.mid,processed\cnn\bach\024809bs.npy,98,8.5
bach,024812b2.mid,processed\cnn\bach\024812b2.npy,194,16.8
bach,024817b2.mid,processed\cnn\bach\024817b2.npy,90,7.9
bach,024823b2.mid,processed\cnn\bach\024823b2.npy,209,18.1
bach,024823bs.mid,processed\cnn\bach\024823bs.npy,108,9.4
bach,024828b3.mid,processed\cnn\bach\024828b3.npy,110,9.6
bach,024833b3.mid,processed\cnn\bach\024833b3.npy,130,11.3
bach,024835b3.mid,processed\cnn\bach\024835b3.npy,137,11.9
bach,024842b4.mid,processed\cnn\bach\024842b4.npy,433,37.3
bach,024842bs.mid,processed\cnn\bach\024842bs.npy,193,16.7
bach,024846b5.mid,processed\cnn\bach\024846b5.npy,141,12.2
bach,024853b5.mid,processed\cnn\bach\024853b5.npy,144,12.5
bach,024859b6.mid,processed\cnn\bach\024859b6.npy,153,13.3
bach,024864b6.mid,processed\cnn\bach\024864b6.npy,770,66.3
bach,024864bs.mid,processed\cnn\bach\024864bs.npy,167,14.5
bach,024864qt.mid,processed\cnn\bach\024864qt.npy,926,79.7
bach,025000b_.mid,processed\cnn\bach\025000b_.npy,150,13.0
bach,025100b_.mid,processed\cnn\bach\025100b_.npy,156,13.5
bach,025200b_.mid,processed\cnn\bach\025200b_.npy,178,15.4
bach,025300b_.mid,processed\cnn\bach\025300b_.npy,107,9.3
bach,025400b_.mid,processed\cnn\bach\025400b_.npy,120,10.4
bach,025500b_.mid,processed\cnn\bach\025500b_.npy,90,7.9
bach,025600b_.mid,processed\cnn\bach\025600b_.npy,163,14.1
bach,025700b_.mid,processed\cnn\bach\025700b_.npy,159,13.8
bach,025800b_.mid,processed\cnn\bach\025800b_.npy,163,14.1
bach,025900b_.mid,processed\cnn\bach\025900b_.npy,144,12.5
bach,026000b_.mid,processed\cnn\bach\026000b_.npy,150,13.0
bach,026100b_.mid,processed\cnn\bach\026100b_.npy,275,23.8
bach,026200b_.mid,processed\cnn\bach\026200b_.npy,160,13.9
bach,026300b_.mid,processed\cnn\bach\026300b_.npy,120,10.4
bach,026400b_.mid,processed\cnn\bach\026400b_.npy,117,10.2
bach,026500b_.mid,processed\cnn\bach\026500b_.npy,90,7.9
bach,026600b_.mid,processed\cnn\bach\026600b_.npy,165,14.3
bach,026700b_.mid,processed\cnn\bach\026700b_.npy,217,18.8
bach,026700ba.mid,processed\cnn\bach\026700ba.npy,217,18.8
bach,026800b_.mid,processed\cnn\bach\026800b_.npy,120,10.4
bach,026900b_.mid,processed\cnn\bach\026900b_.npy,234,20.2
bach,027000b_.mid,processed\cnn\bach\027000b_.npy,170,14.7
bach,027100b_.mid,processed\cnn\bach\027100b_.npy,170,14.7
bach,027200b_.mid,processed\cnn\bach\027200b_.npy,167,14.5
bach,027300b_.mid,processed\cnn\bach\027300b_.npy,114,9.9
bach,027400b_.mid,processed\cnn\bach\027400b_.npy,90,7.9
bach,027500b_.mid,processed\cnn\bach\027500b_.npy,182,15.8
bach,027600b_.mid,processed\cnn\bach\027600b_.npy,329,28.4
bach,027700b_.mid,processed\cnn\bach\027700b_.npy,204,17.7
bach,027800b_.mid,processed\cnn\bach\027800b_.npy,185,16.0
bach,027900b_.mid,processed\cnn\bach\027900b_.npy,185,16.0
bach,028000b_.mid,processed\cnn\bach\028000b_.npy,190,16.5
bach,028100b_.mid,processed\cnn\bach\028100b_.npy,87,7.6
bach,028200b_.mid,processed\cnn\bach\028200b_.npy,138,12.0
bach,028300b_.mid,processed\cnn\bach\028300b_.npy,170,14.7
bach,028400b_.mid,processed\cnn\bach\028400b_.npy,171,14.8
bach,028500b_.mid,processed\cnn\bach\028500b_.npy,135,11.7
bach,028600b_.mid,processed\cnn\bach\028600b_.npy,70,6.1
bach,028700b_.mid,processed\cnn\bach\028700b_.npy,170,14.7
bach,028800b_.mid,processed\cnn\bach\028800b_.npy,145,12.6
bach,028900b_.mid,processed\cnn\bach\028900b_.npy,135,11.7
bach,029000b_.mid,processed\cnn\bach\029000b_.npy,90,7.9
bach,029100b_.mid,processed\cnn\bach\029100b_.npy,120,10.4
bach,029200b_.mid,processed\cnn\bach\029200b_.npy,140,12.2
bach,029300b_.mid,processed\cnn\bach\029300b_.npy,98,8.5
bach,029400b_.mid,processed\cnn\bach\029400b_.npy,210,18.2
bach,029500b_.mid,processed\cnn\bach\029500b_.npy,120,10.4
bach,029600b_.mid,processed\cnn\bach\029600b_.npy,150,13.0
bach,029700b_.mid,processed\cnn\bach\029700b_.npy,125,10.9
bach,029800b_.mid,processed\cnn\bach\029800b_.npy,105,9.1
bach,029900b_.mid,processed\cnn\bach\029900b_.npy,187,16.2
bach,030000b_.mid,processed\cnn\bach\030000b_.npy,170,14.7
bach,030100b_.mid,processed\cnn\bach\030100b_.npy,190,16.5
bach,030200b_.mid,processed\cnn\bach\030200b_.npy,185,16.0
bach,030300b_.mid,processed\cnn\bach\030300b_.npy,170,14.7
bach,030400b_.mid,processed\cnn\bach\030400b_.npy,202,17.5
bach,030500b_.mid,processed\cnn\bach\030500b_.npy,216,18.7
bach,030600b_.mid,processed\cnn\bach\030600b_.npy,127,11.0
bach,030700b_.mid,processed\cnn\bach\030700b_.npy,150,13.0
bach,030800b_.mid,processed\cnn\bach\030800b_.npy,159,13.8
bach,030900b_.mid,processed\cnn\bach\030900b_.npy,208,18.0
bach,031000b_.mid,processed\cnn\bach\031000b_.npy,109,9.5
bach,031100b_.mid,processed\cnn\bach\031100b_.npy,261,22.6
bach,031200b_.mid,processed\cnn\bach\031200b_.npy,220,19.0
bach,031300b_.mid,processed\cnn\bach\031300b_.npy,152,13.2
bach,031400b_.mid,processed\cnn\bach\031400b_.npy,114,9.9
bach,031500b_.mid,processed\cnn\bach\031500b_.npy,187,16.2
bach,031600b_.mid,processed\cnn\bach\031600b_.npy,177,15.3
bach,031700b_.mid,processed\cnn\bach\031700b_.npy,280,24.2
bach,031800b_.mid,processed\cnn\bach\031800b_.npy,130,11.3
bach,031900b_.mid,processed\cnn\bach\031900b_.npy,120,10.4
bach,032000b_.mid,processed\cnn\bach\032000b_.npy,285,24.6
bach,032100b_.mid,processed\cnn\bach\032100b_.npy,180,15.6
bach,032200b_.mid,processed\cnn\bach\032200b_.npy,281,24.3
bach,032300b_.mid,processed\cnn\bach\032300b_.npy,97,8.5
bach,032400b_.mid,processed\cnn\bach\032400b_.npy,105,9.1
bach,032500b_.mid,processed\cnn\bach\032500b_.npy,185,16.0
bach,032600b_.mid,processed\cnn\bach\032600b_.npy,127,11.0
bach,032700b_.mid,processed\cnn\bach\032700b_.npy,102,8.9
bach,032800b_.mid,processed\cnn\bach\032800b_.npy,1167,100.4
bach,032900b_.mid,processed\cnn\bach\032900b_.npy,140,12.2
bach,033000b_.mid,processed\cnn\bach\033000b_.npy,153,13.3
bach,033100b_.mid,processed\cnn\bach\033100b_.npy,159,13.8
bach,033200b_.mid,processed\cnn\bach\033200b_.npy,90,7.9
bach,033300b_.mid,processed\cnn\bach\033300b_.npy,156,13.5
bach,033400b_.mid,processed\cnn\bach\033400b_.npy,160,13.9
bach,033500b_.mid,processed\cnn\bach\033500b_.npy,90,7.9
bach,033500bv.mid,processed\cnn\bach\033500bv.npy,90,7.9
bach,033600b_.mid,processed\cnn\bach\033600b_.npy,98,8.5
bach,033700b_.mid,processed\cnn\bach\033700b_.npy,120,10.4
bach,033800b_.mid,processed\cnn\bach\033800b_.npy,156,13.5
bach,033900b_.mid,processed\cnn\bach\033900b_.npy,180,15.6
bach,034000b_.mid,processed\cnn\bach\034000b_.npy,277,23.9
bach,034100b_.mid,processed\cnn\bach\034100b_.npy,104,9.1
bach,034200b_.mid,processed\cnn\bach\034200b_.npy,180,15.6
bach,034300b_.mid,processed\cnn\bach\034300b_.npy,207,17.9
bach,034400b_.mid,processed\cnn\bach\034400b_.npy,182,15.8
bach,034500b_.mid,processed\cnn\bach\034500b_.npy,204,17.7
bach,034600b_.mid,processed\cnn\bach\034600b_.npy,174,15.1
bach,034700b_.mid,processed\cnn\bach\034700b_.npy,243,21.0
bach,034800b_.mid,processed\cnn\bach\034800b_.npy,170,14.7
bach,034900b_.mid,processed\cnn\bach\034900b_.npy,110,9.6
bach,035000b_.mid,processed\cnn\bach\035000b_.npy,207,17.9
bach,035100b_.mid,processed\cnn\bach\035100b_.npy,114,9.9
bach,035200b_.mid,processed\cnn\bach\035200b_.npy,174,15.1
bach,035300b_.mid,processed\cnn\bach\035300b_.npy,190,16.5
bach,035400b_.mid,processed\cnn\bach\035400b_.npy,170,14.7
bach,035500b_.mid,processed\cnn\bach\035500b_.npy,160,13.9
bach,035600b_.mid,processed\cnn\bach\035600b_.npy,210,18.2
bach,035700b_.mid,processed\cnn\bach\035700b_.npy,160,13.9
bach,035800b_.mid,processed\cnn\bach\035800b_.npy,190,16.5
bach,035900b_.mid,processed\cnn\bach\035900b_.npy,160,13.9
bach,036000b_.mid,processed\cnn\bach\036000b_.npy,170,14.7
bach,036100b_.mid,processed\cnn\bach\036100b_.npy,130,11.3
bach,036200b_.mid,processed\cnn\bach\036200b_.npy,352,30.4
bach,036300b_.mid,processed\cnn\bach\036300b_.npy,130,11.3
bach,036400b_.mid,processed\cnn\bach\036400b_.npy,110,9.6
bach,036500b_.mid,processed\cnn\bach\036500b_.npy,140,12.2
bach,036600b_.mid,processed\cnn\bach\036600b_.npy,185,16.0
bach,036700b_.mid,processed\cnn\bach\036700b_.npy,130,11.3
bach,036800b_.mid,processed\cnn\bach\036800b_.npy,212,18.3
bach,036900b_.mid,processed\cnn\bach\036900b_.npy,170,14.7
bach,037000b_.mid,processed\cnn\bach\037000b_.npy,90,7.9
bach,037100b_.mid,processed\cnn\bach\037100b_.npy,486,41.9
bach,037200b_.mid,processed\cnn\bach\037200b_.npy,185,16.0
bach,037300b_.mid,processed\cnn\bach\037300b_.npy,150,13.0
bach,037300bv.mid,processed\cnn\bach\037300bv.npy,150,13.0
bach,037400b_.mid,processed\cnn\bach\037400b_.npy,200,17.3
bach,037500b_.mid,processed\cnn\bach\037500b_.npy,114,9.9
bach,037600b_.mid,processed\cnn\bach\037600b_.npy,110,9.6
bach,037700b_.mid,processed\cnn\bach\037700b_.npy,130,11.3
bach,037800b_.mid,processed\cnn\bach\037800b_.npy,170,14.7
bach,037900b_.mid,processed\cnn\bach\037900b_.npy,140,12.2
bach,038000b_.mid,processed\cnn\bach\038000b_.npy,130,11.3
bach,038100b_.mid,processed\cnn\bach\038100b_.npy,150,13.0
bach,038200b_.mid,processed\cnn\bach\038200b_.npy,130,11.3
bach,038300b_.mid,processed\cnn\bach\038300b_.npy,320,27.6
bach,038400b_.mid,processed\cnn\bach\038400b_.npy,130,11.3
bach,038500b_.mid,processed\cnn\bach\038500b_.npy,150,13.0
bach,038600b_.mid,processed\cnn\bach\038600b_.npy,191,16.5
