composer,filename,source_filename,shift,is_augmented
bach,034100b_.mid,034100b_.mid,0,False
beethoven,Symphony_op68_n6_Pastorale.mid,Symphony_op68_n6_Pastorale.mid,0,False
bach,015408b_.mid,015408b_.mid,0,False
bach,WT1_XX3B.mid,WT1_XX3B.mid,0,False
mozart,Fantasia_in_C_K475.mid,Fantasia_in_C_K475.mid,0,False
bach,invent12.mid,invent12.mid,0,False
bach,027200b_.mid,027200b_.mid,0,False
beethoven,Piano_Concerto_n3_op37_3mov.mid,Piano_Concerto_n3_op37_3mov.mid,0,False
mozart,K136_Divertimento_3mov.mid,K136_Divertimento_3mov.mid,0,False
bach,015905b_.mid,015905b_.mid,0,False
beethoven,Symphony_n4_4mov.mid,Symphony_n4_4mov.mid,0,False
mozart,K457_Piano_Sonata_n14.mid,K457_Piano_Sonata_n14.mid,0,False
chopin,Prelude_n16_op28_Hades.mid,Prelude_n16_op28_Hades.mid,0,False
bach,04_Chor_Gloria_In_Exelcis.mid,04_Chor_Gloria_In_Exelcis.mid,0,False
bach,018405b_.mid,018405b_.mid,0,False
beethoven,Romance_piano.mid,Romance_piano.mid,0,False
bach,010207b_.mid,010207b_.mid,0,False
bach,006408b_.mid,006408b_.mid,0,False
bach,Bwv0554_Short_Prelude_and_Fugue_n2_Spurious.mid,Bwv0554_Short_Prelude_and_Fugue_n2_Spurious.mid,0,False
bach,042400b_.mid,042400b_.mid,0,False
bach,006704b_.mid,006704b_.mid,0,False
bach,004006b_.mid,004006b_.mid,0,False
bach,Bwv0936_Little_Prelude_n4.mid,Bwv0936_Little_Prelude_n4.mid,0,False
beethoven,String_Quartet_n1_op18_4mov.mid,String_Quartet_n1_op18_4mov.mid,0,False
bach,Bwv0811_English_Suite_n6_7mov.mid,Bwv0811_English_Suite_n6_7mov.mid,0,False
bach,invent3.mid,invent3.mid,0,False
beethoven,Piano_Sonata_n10_1mov.mid,Piano_Sonata_n10_1mov.mid,0,False
bach,WT1_7A.mid,WT1_7A.mid,0,False
bach,039500b_.mid,039500b_.mid,0,False
bach,024454b_.mid,024454b_.mid,0,False
mozart,K618_Ave_Verum_Corpus.mid,K618_Ave_Verum_Corpus.mid,0,False
mozart,Viennese_Sonatinas_K439b_n2_4mov.mid,Viennese_Sonatinas_K439b_n2_4mov.mid,0,False
beethoven,String_Quartet_n16_op135_4mov.mid,String_Quartet_n16_op135_4mov.mid,0,False
chopin,Mazurka_op67_n3_Drchew.mid,Mazurka_op67_n3_Drchew.mid,0,False
bach,Bwv784_Invention_n13.mid,Bwv784_Invention_n13.mid,0,False
bach,Bwv1069_Orchestral_suite_n4_Rejouissance.mid,Bwv1069_Orchestral_suite_n4_Rejouissance.mid,0,False
beethoven,Lieder_op48_n2_Die_Liebe_Des_Nachsten.mid,Lieder_op48_n2_Die_Liebe_Des_Nachsten.mid,0,False
beethoven,Piano_Sonata_n15_3mov_Pastoral.mid,Piano_Sonata_n15_3mov_Pastoral.mid,0,False
bach,invent15.mid,invent15.mid,0,False
mozart,Viennese_Sonatinas_K439b_n2_2mov.mid,Viennese_Sonatinas_K439b_n2_2mov.mid,0,False
bach,007305b_.mid,007305b_.mid,0,False
beethoven,Sonata_Opus81a_-Les_Adieux-_E_flat_No2__3.mid,Sonata_Opus81a_-Les_Adieux-_E_flat_No2__3.mid,0,False
chopin,Nocturne_op33_n4.mid,Nocturne_op33_n4.mid,0,False
chopin,Mazurka_op33_n2_Drchew.mid,Mazurka_op33_n2_Drchew.mid,0,False
beethoven,Piano_Sonata_n15_2mov_Pastoral.mid,Piano_Sonata_n15_2mov_Pastoral.mid,0,False
bach,041700b_.mid,041700b_.mid,0,False
bach,Bwv0794_Sinfonia_n8.mid,Bwv0794_Sinfonia_n8.mid,0,False
bach,Variation_01.mid,Variation_01.mid,0,False
mozart,Symphony_n30_K202_3mov.mid,Symphony_n30_K202_3mov.mid,0,False
chopin,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No8.mid,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No8.mid,0,False
beethoven,Piano_Sonata_n21_3mov_Waldstein.mid,Piano_Sonata_n21_3mov_Waldstein.mid,0,False
bach,041600b_.mid,041600b_.mid,0,False
chopin,Etude_op25_n09.mid,Etude_op25_n09.mid,0,False
beethoven,Symphony_op125_n9_2mov_Choral.mid,Symphony_op125_n9_2mov_Choral.mid,0,False
bach,037900b_.mid,037900b_.mid,0,False
bach,Bwv0048.mid,Bwv0048.mid,0,False
bach,024540b_.mid,024540b_.mid,0,False
mozart,K626_Requiem_06_confutatis.mid,K626_Requiem_06_confutatis.mid,0,False
bach,027300b_.mid,027300b_.mid,0,False
bach,Bwv1068_Orchestral_Suite_n3_2mov.mid,Bwv1068_Orchestral_Suite_n3_2mov.mid,0,False
bach,Bwv0540_Toccata_and_Fugue.mid,Bwv0540_Toccata_and_Fugue.mid,0,False
bach,Variation_16.mid,Variation_16.mid,0,False
bach,038700b_.mid,038700b_.mid,0,False
bach,WT1_X4B.mid,WT1_X4B.mid,0,False
bach,WT1_X8B.mid,WT1_X8B.mid,0,False
mozart,Sonatina_n21_3mov.mid,Sonatina_n21_3mov.mid,0,False
bach,WT1_3B.mid,WT1_3B.mid,0,False
mozart,K191_Bassoon_Concerto_1mov.mid,K191_Bassoon_Concerto_1mov.mid,0,False
bach,Bwv0913_Toccata.mid,Bwv0913_Toccata.mid,0,False
bach,032300b_.mid,032300b_.mid,0,False
bach,Bwv1064_Three_Harpsichords_Concerto_n2_1mov.mid,Bwv1064_Three_Harpsichords_Concerto_n2_1mov.mid,0,False
bach,Bwv0298.mid,Bwv0298.mid,0,False
bach,Bwv0547_Prelude_and_Fugue.mid,Bwv0547_Prelude_and_Fugue.mid,0,False
mozart,Piano_Concerto_n21_K467_2mov_Elvira_Madigan.mid,Piano_Concerto_n21_K467_2mov_Elvira_Madigan.mid,0,False
bach,WT1_8A.mid,WT1_8A.mid,0,False
bach,042600b_.mid,042600b_.mid,0,False
bach,012606b_.mid,012606b_.mid,0,False
mozart,Piano_Sonata_n16_K545.mid,Piano_Sonata_n16_K545.mid,0,False
bach,Bwv0933_Little_Prelude_n1.mid,Bwv0933_Little_Prelude_n1.mid,0,False
bach,Bwv0806_English_Suite_n1_01mov.mid,Bwv0806_English_Suite_n1_01mov.mid,0,False
bach,Bwv1066_Orchestral_suite_n1_Forlane.mid,Bwv1066_Orchestral_suite_n1_Forlane.mid,0,False
bach,bsgjg_h.mid,bsgjg_h.mid,0,False
bach,009906b_.mid,009906b_.mid,0,False
beethoven,Sonata_op78_1st_mov.mid,Sonata_op78_1st_mov.mid,0,False
bach,008606b_.mid,008606b_.mid,0,False
mozart,K19d_Piano_Sonata_Duet.mid,K19d_Piano_Sonata_Duet.mid,0,False
chopin,Prelude_n13_op28_Loss.mid,Prelude_n13_op28_Loss.mid,0,False
beethoven,Piano_Sonata_n23_op57_1mov_Apassionata.mid,Piano_Sonata_n23_op57_1mov_Apassionata.mid,0,False
mozart,K317_Coronation_Mass_1mov.mid,K317_Coronation_Mass_1mov.mid,0,False
mozart,Symphony_n28_K200_4mov.mid,Symphony_n28_K200_4mov.mid,0,False
bach,014907ch.mid,014907ch.mid,0,False
bach,043500b_.mid,043500b_.mid,0,False
bach,064600b_.mid,064600b_.mid,0,False
beethoven,String_Quartet_n16_op135_2mov.mid,String_Quartet_n16_op135_2mov.mid,0,False
bach,011308b_.mid,011308b_.mid,0,False
bach,016606b_.mid,016606b_.mid,0,False
bach,024417bv.mid,024417bv.mid,0,False
bach,025400b_.mid,025400b_.mid,0,False
mozart,Piano_Concerto_n26_K537_2mov_Coronation.mid,Piano_Concerto_n26_K537_2mov_Coronation.mid,0,False
bach,Bwv1014_Harpsicord_and_Violin_Sonata_2mov.mid,Bwv1014_Harpsicord_and_Violin_Sonata_2mov.mid,0,False
mozart,Sonatina_n3_3mov.mid,Sonatina_n3_3mov.mid,0,False
bach,5Erbarme_dicht_mein_Gott_Alto_Aria.mid,5Erbarme_dicht_mein_Gott_Alto_Aria.mid,0,False
mozart,Piano_Sonata_n02_K280.mid,Piano_Sonata_n02_K280.mid,0,False
bach,21_Benedictus.mid,21_Benedictus.mid,0,False
bach,Bwv0797_Sinfonia_n11.mid,Bwv0797_Sinfonia_n11.mid,0,False
bach,036200b_.mid,036200b_.mid,0,False
mozart,K281_Piano_Sonata_n03_1mov.mid,K281_Piano_Sonata_n03_1mov.mid,0,False
bach,Wtcii20b.mid,Wtcii20b.mid,0,False
mozart,K393_Solfeggi_n4.mid,K393_Solfeggi_n4.mid,0,False
bach,Bwv0197ch.mid,Bwv0197ch.mid,0,False
mozart,Piano_Sonata_n10_K330.mid,Piano_Sonata_n10_K330.mid,0,False
mozart,Symphony_n25_K183_2mov.mid,Symphony_n25_K183_2mov.mid,0,False
beethoven,Lieder_op48_n1_Bitten.mid,Lieder_op48_n1_Bitten.mid,0,False
bach,Prelude_and_Fugue_in_A_BWV_888.mid,Prelude_and_Fugue_in_A_BWV_888.mid,0,False
bach,005708b_.mid,005708b_.mid,0,False
mozart,K393_Solfeggi_n5.mid,K393_Solfeggi_n5.mid,0,False
bach,WTCII06A.mid,WTCII06A.mid,0,False
beethoven,Symphony_n3_4mov_Eroica.mid,Symphony_n3_4mov_Eroica.mid,0,False
bach,Bwv1049_Brandenburg_Concert_n4_2mov.mid,Bwv1049_Brandenburg_Concert_n4_2mov.mid,0,False
bach,Bwv776_Invention_n05.mid,Bwv776_Invention_n05.mid,0,False
mozart,K335_Laudate_Dominus.mid,K335_Laudate_Dominus.mid,0,False
bach,006106b_.mid,006106b_.mid,0,False
mozart,Symphony_n35_K385_4mov_Haffner.mid,Symphony_n35_K385_4mov_Haffner.mid,0,False
bach,WT1_1B.mid,WT1_1B.mid,0,False
bach,035300b_.mid,035300b_.mid,0,False
bach,Bwv0555_Short_Prelude_and_Fugue_n3_Spurious.mid,Bwv0555_Short_Prelude_and_Fugue_n3_Spurious.mid,0,False
mozart,K594_Adagio__Allegro_for_Mechanical_Organ.mid,K594_Adagio__Allegro_for_Mechanical_Organ.mid,0,False
bach,041300b_.mid,041300b_.mid,0,False
bach,076904b_.mid,076904b_.mid,0,False
beethoven,Op33_No4.mid,Op33_No4.mid,0,False
bach,Counter_Fugue_n2.mid,Counter_Fugue_n2.mid,0,False
bach,018506b_.mid,018506b_.mid,0,False
bach,011506bv.mid,011506bv.mid,0,False
chopin,Etude_op10_n05_Black_Key.mid,Etude_op10_n05_Black_Key.mid,0,False
beethoven,Overture_Leonore_n3_op72.mid,Overture_Leonore_n3_op72.mid,0,False
mozart,K280_Piano_sonata_n02_3mov.mid,K280_Piano_sonata_n02_3mov.mid,0,False
bach,010806b_.mid,010806b_.mid,0,False
bach,065100b_.mid,065100b_.mid,0,False
bach,10_Aria_Quoniam.mid,10_Aria_Quoniam.mid,0,False
chopin,Etude_op25_n02.mid,Etude_op25_n02.mid,0,False
bach,Bwv0997_Partita_for_Lute_1mov.mid,Bwv0997_Partita_for_Lute_1mov.mid,0,False
mozart,Symphony_n30_K202_4mov.mid,Symphony_n30_K202_4mov.mid,0,False
bach,018707b_.mid,018707b_.mid,0,False
bach,038500b_.mid,038500b_.mid,0,False
beethoven,Piano_Sonata_n01.mid,Piano_Sonata_n01.mid,0,False
bach,004407b_.mid,004407b_.mid,0,False
bach,Bwv0552_Prelude_and_Fugue_St_Anne.mid,Bwv0552_Prelude_and_Fugue_St_Anne.mid,0,False
bach,024462bv.mid,024462bv.mid,0,False
bach,066100b_.mid,066100b_.mid,0,False
chopin,Etude_op10_n03.mid,Etude_op10_n03.mid,0,False
chopin,Etude_op10_n11.mid,Etude_op10_n11.mid,0,False
mozart,Piano_Concerto_n25_K503_2mov.mid,Piano_Concerto_n25_K503_2mov.mid,0,False
bach,Bwv1043_Two_Violins_Concerto_n3_1mov.mid,Bwv1043_Two_Violins_Concerto_n3_1mov.mid,0,False
mozart,Symphony_n38_K504_1mov_Prague.mid,Symphony_n38_K504_1mov_Prague.mid,0,False
bach,024505b_.mid,024505b_.mid,0,False
beethoven,Piano_Sonata_n08_op13_3mov_Pathetique.mid,Piano_Sonata_n08_op13_3mov_Pathetique.mid,0,False
bach,022602bv.mid,022602bv.mid,0,False
bach,Wtcii02b.mid,Wtcii02b.mid,0,False
bach,042700b_.mid,042700b_.mid,0,False
bach,Musical_Offering_n16_Trio-Allegro.mid,Musical_Offering_n16_Trio-Allegro.mid,0,False
chopin,Prelude_n05_op28_Uncertainty.mid,Prelude_n05_op28_Uncertainty.mid,0,False
bach,011007b_.mid,011007b_.mid,0,False
bach,Bwv780_Invention_n09.mid,Bwv780_Invention_n09.mid,0,False
mozart,K04_Minuet_in_F.mid,K04_Minuet_in_F.mid,0,False
bach,Bwv0568_Prelude.mid,Bwv0568_Prelude.mid,0,False
mozart,Early_Pieces_n20_Presto.mid,Early_Pieces_n20_Presto.mid,0,False
bach,006206b_.mid,006206b_.mid,0,False
bach,030000b_.mid,030000b_.mid,0,False
bach,11_Marche.mid,11_Marche.mid,0,False
beethoven,Piano_Sonata_No2_Assai_vivace.mid,Piano_Sonata_No2_Assai_vivace.mid,0,False
bach,Wtcii12b.mid,Wtcii12b.mid,0,False
bach,Variation_22.mid,Variation_22.mid,0,False
beethoven,Piano_Sonata_n20.mid,Piano_Sonata_n20.mid,0,False
chopin,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No14.mid,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No14.mid,0,False
bach,017906b_.mid,017906b_.mid,0,False
bach,Bwv1052_Harpsichord_Concerto_n1b.mid,Bwv1052_Harpsichord_Concerto_n1b.mid,0,False
bach,Bwv0036v.mid,Bwv0036v.mid,0,False
beethoven,Piano_Concerto_n2_op19_1mov.mid,Piano_Concerto_n2_op19_1mov.mid,0,False
bach,Wtcii01a.mid,Wtcii01a.mid,0,False
bach,003706b_.mid,003706b_.mid,0,False
bach,038000b_.mid,038000b_.mid,0,False
beethoven,Hess061_Anglaise.mid,Hess061_Anglaise.mid,0,False
mozart,Symphony_n34_K338_2mov.mid,Symphony_n34_K338_2mov.mid,0,False
bach,065400b_.mid,065400b_.mid,0,False
bach,Bwv1014_Harpsicord_and_Violin_Sonata_3mov.mid,Bwv1014_Harpsicord_and_Violin_Sonata_3mov.mid,0,False
bach,Bwv0915_Toccata.mid,Bwv0915_Toccata.mid,0,False
bach,Piano_version_of_Bachs_two_part_inventions_No12.mid,Piano_version_of_Bachs_two_part_inventions_No12.mid,0,False
bach,invent13.mid,invent13.mid,0,False
bach,022707b_.mid,022707b_.mid,0,False
bach,Bwv0817_French_Suite_n6.mid,Bwv0817_French_Suite_n6.mid,0,False
bach,Wtcii21b.mid,Wtcii21b.mid,0,False
mozart,Symphony_n36_K425_3mov_Linz.mid,Symphony_n36_K425_3mov_Linz.mid,0,False
bach,043300b_.mid,043300b_.mid,0,False
beethoven,Piano_Sonata_n03.mid,Piano_Sonata_n03.mid,0,False
mozart,K309_Piano_Sonata_n10_3mov.mid,K309_Piano_Sonata_n10_3mov.mid,0,False
chopin,Prelude_n21_op28_Sunday.mid,Prelude_n21_op28_Sunday.mid,0,False
chopin,Prelude_n11_op28_Dragonfly.mid,Prelude_n11_op28_Dragonfly.mid,0,False
mozart,Piano_Concerto_n7_for_3_Pianos_K242_2mov_Lodron.mid,Piano_Concerto_n7_for_3_Pianos_K242_2mov_Lodron.mid,0,False
bach,011909b_.mid,011909b_.mid,0,False
bach,007903bs.mid,007903bs.mid,0,False
mozart,Early_Pieces_n14_Rondo.mid,Early_Pieces_n14_Rondo.mid,0,False
bach,014500ba.mid,014500ba.mid,0,False
bach,066800com.mid,066800com.mid,0,False
bach,024823bs.mid,024823bs.mid,0,False
bach,Bwv0541_Prelude_and_Fugue.mid,Bwv0541_Prelude_and_Fugue.mid,0,False
beethoven,136.mid,136.mid,0,False
bach,Variation_11.mid,Variation_11.mid,0,False
bach,02_Menuet.mid,02_Menuet.mid,0,False
mozart,K570_Piano_Sonata_2mov.mid,K570_Piano_Sonata_2mov.mid,0,False
bach,Piano_version_of_Bachs_two_part_inventions_No2.mid,Piano_version_of_Bachs_two_part_inventions_No2.mid,0,False
beethoven,Overture_Creatures_Of_Prometeus_op43.mid,Overture_Creatures_Of_Prometeus_op43.mid,0,False
mozart,K332_Piano_Sonata_n12_1mov.mid,K332_Piano_Sonata_n12_1mov.mid,0,False
beethoven,Symphony_n2_op36_3mov.mid,Symphony_n2_op36_3mov.mid,0,False
bach,Bwv0266.mid,Bwv0266.mid,0,False
mozart,Piano_Concerto_n6_K238_1mov.mid,Piano_Concerto_n6_K238_1mov.mid,0,False
mozart,Symphony_n30_K202_2mov.mid,Symphony_n30_K202_2mov.mid,0,False
bach,Wtcii15b.mid,Wtcii15b.mid,0,False
bach,WT1_X_A.mid,WT1_X_A.mid,0,False
bach,Bwv1063_Three_Harpsichords_Concerto_n1.mid,Bwv1063_Three_Harpsichords_Concerto_n1.mid,0,False
chopin,Etude_op25_n03.mid,Etude_op25_n03.mid,0,False
bach,Musical_Offering_n19.mid,Musical_Offering_n19.mid,0,False
bach,012106b_.mid,012106b_.mid,0,False
bach,043400b_.mid,043400b_.mid,0,False
bach,036300b_.mid,036300b_.mid,0,False
bach,009106b_.mid,009106b_.mid,0,False
bach,038800b_.mid,038800b_.mid,0,False
beethoven,Overture_King_Stephen.mid,Overture_King_Stephen.mid,0,False
bach,bsgjg_i.mid,bsgjg_i.mid,0,False
bach,025300b_.mid,025300b_.mid,0,False
bach,029200b_.mid,029200b_.mid,0,False
bach,03_Kyrie_Eleison.mid,03_Kyrie_Eleison.mid,0,False
beethoven,Sonatina_In_C.mid,Sonatina_In_C.mid,0,False
bach,024805b1.mid,024805b1.mid,0,False
mozart,Piano_Concerto_n20_K466_1mov.mid,Piano_Concerto_n20_K466_1mov.mid,0,False
bach,Musical_Offering_n11.mid,Musical_Offering_n11.mid,0,False
mozart,K525_Serenade_2mov_Eine_Kleine_Natchmusik.mid,K525_Serenade_2mov_Eine_Kleine_Natchmusik.mid,0,False
bach,Bwv1067_Orchestral_suite_n2_Menuet.mid,Bwv1067_Orchestral_suite_n2_Menuet.mid,0,False
bach,Bwv1005_Violin_Sonata_n3_4mov_Allegro.mid,Bwv1005_Violin_Sonata_n3_4mov_Allegro.mid,0,False
bach,022701b_.mid,022701b_.mid,0,False
bach,040400bv.mid,040400bv.mid,0,False
bach,Bwv0276.mid,Bwv0276.mid,0,False
bach,066600b_.mid,066600b_.mid,0,False
bach,Bwv1044_Flute_Violin_and_Harpsichord_Concerto_3mov.mid,Bwv1044_Flute_Violin_and_Harpsichord_Concerto_3mov.mid,0,False
bach,066300b_.mid,066300b_.mid,0,False
bach,Bwv1058_Harpsichord_Concerto_n7_3mov.mid,Bwv1058_Harpsichord_Concerto_n7_3mov.mid,0,False
mozart,K525_Serenade_3mov_Eine_Kleine_Natchmusik.mid,K525_Serenade_3mov_Eine_Kleine_Natchmusik.mid,0,False
chopin,Etude_No2_in_A_Minor.mid,Etude_No2_in_A_Minor.mid,0,False
bach,Bwv0097.mid,Bwv0097.mid,0,False
beethoven,Symphony_op68_n6_1mov_Pastorale.mid,Symphony_op68_n6_1mov_Pastorale.mid,0,False
bach,Bwv1067_Orchestral_suite_n2_Sarabande.mid,Bwv1067_Orchestral_suite_n2_Sarabande.mid,0,False
beethoven,Symphony_n3_2mov_Eroica.mid,Symphony_n3_2mov_Eroica.mid,0,False
beethoven,Piano_Sonata_n31_op110.mid,Piano_Sonata_n31_op110.mid,0,False
bach,Bwv0811_English_Suite_n6_6mov.mid,Bwv0811_English_Suite_n6_6mov.mid,0,False
beethoven,Piano_Sonata_n16.mid,Piano_Sonata_n16.mid,0,False
bach,008107b_.mid,008107b_.mid,0,False
bach,Musical_Offering_n5.mid,Musical_Offering_n5.mid,0,False
mozart,Symphony_n40_K550_2mov.mid,Symphony_n40_K550_2mov.mid,0,False
mozart,Piano_Concerto_n6_K238_3mov.mid,Piano_Concerto_n6_K238_3mov.mid,0,False
bach,039300b_.mid,039300b_.mid,0,False
chopin,Etude_op25_n11_Winter_Wind.mid,Etude_op25_n11_Winter_Wind.mid,0,False
bach,WT1_X6B.mid,WT1_X6B.mid,0,False
beethoven,WoO048_Rondo.mid,WoO048_Rondo.mid,0,False
bach,003806b_.mid,003806b_.mid,0,False
bach,Piano_version_of_Bachs_two_part_inventions_No5.mid,Piano_version_of_Bachs_two_part_inventions_No5.mid,0,False
mozart,Sonatina_n22_4mov.mid,Sonatina_n22_4mov.mid,0,False
bach,004008b_.mid,004008b_.mid,0,False
bach,22_Agnus_Dei.mid,22_Agnus_Dei.mid,0,False
mozart,Symphony_n5_K022.mid,Symphony_n5_K022.mid,0,False
mozart,Symphony_n38_K504_2mov_Prague.mid,Symphony_n38_K504_2mov_Prague.mid,0,False
bach,AveMaria.mid,AveMaria.mid,0,False
mozart,K332_Piano_Sonata_n12_3mov.mid,K332_Piano_Sonata_n12_3mov.mid,0,False
bach,Bwv1058_Harpsichord_Concerto_n7_1mov.mid,Bwv1058_Harpsichord_Concerto_n7_1mov.mid,0,False
beethoven,Bagatella_Fur_Elise.mid,Bagatella_Fur_Elise.mid,0,False
bach,028200b_.mid,028200b_.mid,0,False
bach,024842bs.mid,024842bs.mid,0,False
mozart,Symphony_n25_K183_1mov.mid,Symphony_n25_K183_1mov.mid,0,False
chopin,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No12.mid,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No12.mid,0,False
bach,004807b_.mid,004807b_.mid,0,False
bach,069000b_.mid,069000b_.mid,0,False
bach,013705ch.mid,013705ch.mid,0,False
bach,WTCII08A.mid,WTCII08A.mid,0,False
